skill_component_id,skill_component,description,purpose,domain,keywords_en,keywords_ge
sc_0001,Engineer prompt workflows and context management systems,NA,BUILD AI,GenAI Proficiency,"prompt engineering, prompt workflow design, llm context management, prompt orchestration, conversation context handling, prompt strategy design, context retention systems, prompt pipeline development, prompt management in llms, context handling frameworks, designing prompt sequences, managing conversation context, prompt optimization strategies, workflow for prompt management, context management for ai","prompt engineering, prompt-design, llm-kontextverwaltung, prompt-orchestrierung, verwaltung von gesprächskontext, prompt-strategie-design, kontext-beibehaltungssysteme, prompt-pipeline-entwicklung, prompt-management in llms, kontextverwaltungs-frameworks, entwurf von prompt-sequenzen, verwaltung von gesprächskontext, prompt-optimierungsstrategien, workflow für prompt-management, kontextverwaltung für ki"
sc_0002,Build retrieval-augmented generation (RAG) systems,NA,BUILD AI,GenAI Proficiency,"develop rag systems, retrieval augmented generation, knowledge-augmented generation, search-augmented generation, rag pipeline development, integrating retrieval and generation, hybrid search-generation systems, knowledge retrieval integration, generative qa systems, retrieval-assisted generation, knowledge-enhanced generation, build generative qa pipelines, integrate knowledge bases in generation, rag system implementation, information retrieval for llms","rag-systeme entwickeln, retrieval-augmented generation, wissens-augmentierte generierung, such-augmentierte generierung, rag-pipeline-entwicklung, integration von retrieval und generierung, hybride such-generierungssysteme, wissensabruf-integration, generative qa-systeme, retrieval-unterstützte generierung, wissensverbesserte generierung, generative qa-pipelines aufbauen, einbindung von wissensbasen in generierung, rag-system-implementierung, informationsabruf für llms"
sc_0003,Fine-tune and align language models,NA,BUILD AI,GenAI Proficiency,"fine-tune language models, language model alignment, llm fine-tuning, model alignment techniques, customizing language models, fine-tuning ai models, aligning llms to objectives, domain adaptation for lms, align ai model behavior, language model calibration, tune pre-trained models, align model outputs, model fine-tuning strategies, adapt language models, language model refinement","sprachmodelle fine-tunen, ausrichtung von sprachmodellen, llm-fine-tuning, modell-ausrichtungstechniken, sprachmodelle anpassen, fine-tuning von ki-modellen, llms auf ziele ausrichten, domain-anpassung für lms, ki-modellverhalten ausrichten, sprachmodell-kalibrierung, vortrainierte modelle tunen, modellausgaben ausrichten, modell-fine-tuning-strategien, sprachmodelle anpassen (transfer), sprachmodell-verbesserung"
sc_0004,Create multi-modal and media AI systems,NA,BUILD AI,GenAI Proficiency,"cross-modal embeddings, contrastive learning (clip), temporal consistency, audio-visual synchronization, latent diffusion, generative video modeling, text-to-speech (tts), image-to-text encoding, multi-sensor data fusion, neural signal processing","modalitätenübergreifende embeddings, kontrastives lernen (clip), zeitliche konsistenz, audio-visuelle synchronisation, latente diffusion, generative videomodellierung, text-zu-sprache (tts), bild-zu-text-kodierung, multi-sensor-datenfusion, neuronale signalverarbeitung"
sc_0005,Implement safety and security guardrails for generative AI systems,NA,BUILD AI,GenAI Proficiency,"ai safety measures, generative ai guardrails, ai security protocols, safe ai system design, llm safety guidelines, content filtering for ai, ai moderation tools, generative ai risk mitigation, secure ai deployment, ai trust and safety, safety nets for ai models, ai output regulation, model safety constraints, ensuring safe ai outputs, ai governance policies","ki-sicherheitsmaßnahmen, leitplanken für generative ki, ki-sicherheitsprotokolle, sicheres ki-systemdesign, llm-sicherheitsrichtlinien, inhaltsfilterung für ki, ki-moderationstools, risiko­minderung für generative ki, sichere ki-bereitstellung, ki-vertrauen und sicherheit, sicherheitsnetze für ki-modelle, ki-ausgabenkontrolle, modellsicherheitsbeschränkungen, sicherstellung sicherer ki-ausgaben, ki-governance-richtlinien"
sc_0006,Design conversational AI systems and chatbot frameworks,NA,BUILD AI,GenAI Proficiency,"conversational ai design, chatbot development, dialogue system design, virtual assistant design, chatbot frameworks, conversational ux design, dialog management systems, interactive agent design, conversational interface design, ai chat system design, designing dialogue agents, conversational agent development, chatbot architecture, natural language dialogue design, building chatbot platforms","konversationelles ki-design, chatbot-entwicklung, dialogsystem-design, design virtueller assistenten, chatbot-frameworks, konversations-ux-design, dialogverwaltungssysteme, entwurf interaktiver agenten, design von konversationsschnittstellen, ki-chat-system-design, entwurf von dialogagenten, entwicklung konversationeller agenten, chatbot-architektur, design natürlicher sprachdialoge, aufbau von chatbot-plattformen"
sc_0007,Develop AI agent architectures and autonomous workflows,NA,BUILD AI,GenAI Proficiency,"ai agent design, autonomous agent architecture, multi-agent system design, intelligent agent frameworks, autonomous workflow design, agent-based ai design, autonomous system development, ai agent frameworks, agent orchestration, agent behavior design, designing ai agents, autonomous process workflows, ai agent systems, intelligent agent architecture, design autonomous agents","ki-agenten-design, autonome agenten-architektur, multi-agenten-system-design, intelligente agenten-frameworks, autonomes workflow-design, agentenbasiertes ki-design, entwicklung autonomer systeme, ki-agenten-frameworks, agenten-orchestrierung, agentenverhaltens-design, entwurf von ki-agenten, autonome prozess-workflows, ki-agentensysteme, architektur intelligenter agenten, entwurf autonomer agenten"
sc_0008,Build knowledge graph integration with language models,NA,"BUILD AI, USE AI",GenAI Proficiency,"knowledge graph integration, kg-lm integration, knowledge-infused language models, knowledge augmented lms, semantic knowledge integration, ontologies with llms, knowledge-based language modeling, integrating knowledge bases, knowledge graph enhanced ai, knowledge-driven nlp, linking lms with knowledge graphs, knowledge injection in models, kg and llm synergy, knowledge-aware ai systems, embedding knowledge in lms","wissensgraph-integration, kg-lm-integration, wissensangereicherte sprachmodelle, wissens-augmentierte lms, semantische wissensintegration, ontologien mit llms, wissensbasiertes language modeling, integration von wissensdatenbanken, wissensgraph-gestützte ki, wissensgetriebene nlp, verknüpfung von llms mit wissensgraphen, wissenseinspeisung in modelle, kg- und llm-synergie, wissensbewusste ki-systeme, einbettung von wissen in llms"
sc_0009,Generate and validate synthetic training data,NA,BUILD AI,GenAI Proficiency,"synthetic data generation, synthetic data validation, data augmentation, generate synthetic datasets, validate generated data, synthetic data quality assurance, artificial data creation, data simulation, synthetic dataset generation, data augmentation techniques, simulate training data, validate synthetic data, synthetic data testing, fake data generation for training, data synthesis for ml","generierung synthetischer daten, validierung synthetischer daten, datenaugmentation, generieren synthetischer datensätze, generierte daten validieren, qualitätssicherung für synthetische daten, erzeugung künstlicher daten, datensimulation, generierung synthetischer datensätze, datenaugmentierungs-techniken, trainingsdaten simulieren, validierung synthetischer daten, testen synthetischer daten, generierung künstlicher trainingsdaten, datensynthese für ml"
sc_0010,Design and optimize prompts for AI interactions,NA,USE AI,GenAI Proficiency,"prompt engineering, prompt design, optimize ai prompts, crafting effective prompts, designing user prompts, prompt optimization, writing prompts for ai, prompt tuning, effective prompt strategies, prompt formulation, improve ai prompt quality, prompt design techniques, prompt crafting, refining ai prompts","prompt engineering, prompt-design, ki-prompts optimieren, effektive prompts erstellen, benutzerprompts entwerfen, prompt-optimierung, prompts für ki verfassen, prompt-tuning, effektive prompt-strategien, prompt-formulierung, ki-prompt-qualität verbessern, prompt-design-techniken, prompt-erstellung, ki-prompts verfeinern"
